"year,m","onth,day,d","ep_time,sc",hed_dep_ti,"me,dep_dela","y,arr_time",",sched_arr","_time,a"
rr_del,"ay,carrier",",flight,ta","ilnum,orig","in,dest,air","_time,dist","ance,hour,","minute,"
time_hour,,,,,,,
"2013,1",",1,517,515",",2,830,819",",11,UA,154","5,N14228,EW","R,IAH,227,","1400,5,15,",1/1/201
3 5:00,,,,,,,
"2013,1",",1,533,529",",4,850,830",",20,UA,171","4,N24211,LG","A,IAH,227,","1416,5,29,",1/1/201
3 5:00,,,,,,,
"2013,1",",1,542,540",",2,923,850",",33,AA,114","1,N619AA,JF","K,MIA,160,","1089,5,40,",1/1/201
3 5:00,,,,,,,
"2013,1",",1,544,545",",-1,1004,1","022,-",,,,
"18,B6,","725,N804JB",",JFK,BQN,1","83,1576,5,","45,1/1/2013", 5:00,,
"2013,1",",1,554,600",",-6,812,83","7,-25,DL,4","61,N668DN,L","GA,ATL,116",",762,6,0,1",/1/2013 
6:00,,,,,,,
"2013,1",",1,554,558,-",,,,,,
"4,740,","728,12,UA,","1696,N3946","3,EWR,ORD,","150,719,5,5","8,1/1/2013 5:00",,
"2013,1",",1,555,600",",-5,913,85","4,19,B6,50","7,N516JB,EW","R,FLL,158,","1065,6,0,1",/1/2013 
6:00,,,,,,,
"2013,1",",1,557,600",",-3,709,72","3,-14,EV,5","708,N829AS,","LGA,IAD,53",",229,6,0,1",/1/2013 
6:00,,,,,,,
"2013,1",",1,557,600",",-3,838,84","6,-8,B6,79",",N593JB,JFK",",MCO,140,9","44,6,0,1/1",/2013 
6:00,,,,,,,
"2013,1",",1,558,600",",-2,753,74","5,8,AA,301",",N3ALAA,LGA",",ORD,138,7","33,6,0,1/1",/2013 
6:00,,,,,,,
"2013,1",",1,558,600",",-2,849,85","1,-2,B6,49",",N793JB,JFK",",PBI,149,1","028,6,0,1/",1/2013 
6:00,,,,,,,
"2013,1",",1,558,600",",-2,853,85","6,-3,B6,71",",N657JB,JFK",",TPA,158,1","005,6,0,1/",1/2013 
6:00,,,,,,,
"2013,1",",1,558,600",",-2,924,91","7,7,UA,194",",N29129,JFK",",LAX,345,2","475,6,0,1/",1/2013 
6:00,,,,,,,
"2013,1",",1,558,600",",-2,923,937,-",,,,,
"14,UA,","1124,N5344","1,EWR,SFO,","361,2565,6",",0,1/1/2013 6:00",,,
"2013,1",",1,559,600",",-1,941,91","0,31,AA,70","7,N3DUAA,LG","A,DFW,257,","1389,6,0,1",/1/2013 
6:00,,,,,,,
"2013,1",",1,559,559",",0,702,706",",-4,B6,180","6,N708JB,JF","K,BOS,44,1","87,5,59,1/",1/2013 
5:00,,,,,,,
"2013,1",",1,559,600",",-1,854,902,-",,,,,
"8,UA,1","187,N76515",",EWR,LAS,3","37,2227,6,","0,1/1/2013 ",6:00,,
"2013,1",",1,600,600",",0,851,858",",-7,B6,371",",N595JB,LGA",",FLL,152,1","076,6,0,1/",1/2013 
6:00,,,,,,,
"2013,1",",1,600,600",",0,837,825",",12,MQ,465","0,N542MQ,LG","A,ATL,134,","762,6,0,1/",1/2013 
6:00,,,,,,,
"2013,1",",1,601,600",",1,844,850",",-6,B6,343",",N644JB,EWR",",PBI,147,1","023,6,0,1/",1/2013 
6:00,,,,,,,
"2013,1",",1,602,610",",-8,812,820,-",,,,,
"8,DL,1","919,N971DL",",LGA,MSP,1","70,1020,6,","10,1/1/2013 6:00",,,
"2013,1",",1,602,605",",-3,821,80","5,16,MQ,44","01,N730MQ,L","GA,DTW,105",",502,6,5,1",/1/2013 
6:00,,,,,,,
"2013,1",",1,606,610",",-4,858,910,-",,,,,
"12,AA,","1895,N633A","A,EWR,MIA,152,1085,6",,",10,1/1/201",3 6:00,,
"2013,1",",1,606,610",",-4,837,845,-",,,,,
"8,DL,1","743,N3739P",",JFK,ATL,128,760,6,1",,"0,1/1/2013 ",6:00,,
"2013,1",",1,607,607",",0,858,915,-",,,,,
"17,UA,","1077,N5344","2,EWR,MIA,157,1085,6",,",7,1/1/2013 6:00",,,
